"","Word","Count"
"86472","the",117275
"87680","to",61031
"7413","a",56465
"10072","and",52991
"62956","of",46013
"45618","in",41604
"36189","for",25622
"44842","i",23221
"86426","that",21949
"47090","is",21271
"63473","on",19283
"47233","it",16946
"95041","with",16298
"96895","you",16209
"11717","at",14451
"93295","was",13752
"75770","said",12655
"42136","he",12247
"13703","be",11603
"11376","as",10854
"41992","have",10645
"10995","are",10411
"18210","but",10130
"86875","this",9544
"37144","from",9336
"47302","its",8626
"43298","his",8489
"60108","my",8270
"62157","not",8210
"18328","by",7843
"93568","we",7674
"10004","an",7449
"94723","will",7289
"86719","they",7046
"41859","has",7010
"94480","who",6471
"7625","about",6288
"63931","or",6258
"80836","so",6112
"91132","up",5958
"64340","out",5939
"48687","just",5910
"63521","one",5819
"9261","all",5761
"94289","when",5651
"59063","more",5633
"56421","me",5530
"94042","were",5445
"45087","if",5389
"96968","your",5153
"94213","what",5141
"61063","new",5034
"40989","had",5015
"52588","like",4987
"86522","their",4895
"18818","can",4812
"95589","would",4538
"38541","get",4517
"45302","im",4495
"29052","do",4338
"78585","she",4312
"61626","no",4231
"13979","been",4202
"87421","time",4114
"86651","there",4105
"42645","her",3957
"81126","some",3842
"8565","after",3619
"39471","good",3585
"86391","than",3508
"62290","now",3492
"66406","people",3476
"29381","dont",3418
"96612","year",3386
"51306","last",3345
"44244","how",3324
"64321","our",3267
"26328","day",3265
"35237","first",3264
"9571","also",3205
"89803","two",3198
"91343","us",3198
"94318","which",3068
"86538","them",2959
"12525","back",2879
"64269","other",2875
"96635","years",2867
"39342","going",2835
"64571","over",2823
"39204","go",2810
"50083","know",2794
"46768","into",2782
"53702","love",2770
"43183","him",2723
"82643","state",2600
"77533","see",2573
"24306","could",2570
"63666","only",2542
"54710","make",2535
"86804","think",2424
"13868","because",2410
"40057","great",2385
"87718","today",2301
"93873","well",2294
"59594","much",2250
"37830","game",2230
"93501","way",2227
"62965","off",2200
"95438","work",2193
"86557","then",2169
"76824","school",2157
"39680","got",2155
"87986","too",2151
"28055","did",2138
"83023","still",2133
"94301","where",2129
"93165","want",2082
"74144","right",2069
"32893","even",2046
"59254","most",2033
"14026","before",2018
"21453","city",1991
"86458","thats",1978
"86969","those",1978
"86401","thanks",1976
"43688","home",1972
"60745","need",1943
"71867","really",1914
"29652","down",1902
"55129","many",1880
"75214","rt",1858
"76440","say",1845
"85251","take",1839
"55970","may",1812
"87022","three",1800
"9691","am",1796
"66470","percent",1786
"79058","should",1784
"10569","any",1778
"54423","made",1729
"87136","through",1728
"14567","best",1727
"94328","while",1719
"42677","here",1709
"93724","week",1709
"2244","2",1698
"76461","says",1694
"22663","come",1683
"85786","team",1680
"61196","next",1674
"18951","cant",1650
"57804","million",1646
"14117","being",1625
"61396","night",1624
"89984","u",1588
"92113","very",1585
"77332","season",1580
"24405","county",1533
"28065","didnt",1491
"61039","never",1489
"3505","3",1482
"52476","life",1465
"10358","another",1462
"14650","better",1460
"79096","show",1459
"94538","why",1458
"163","1",1431
"14859","big",1407
"67744","play",1393
"53327","lol",1387
"96970","youre",1384
"164","10",1366
"79601","since",1366
"86695","these",1324
"42942","high",1313
"42538","help",1301
"83985","such",1295
"42787","hes",1293
